Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Y haplogroup (manual curation in ISOGG format)
1200	..
1200	..
1200	n/a (female)
1200	n/a (female)
1200	..
1200	..
1200	n/a (female)
1200	..
1200	n/a (female)
1200	..
1200	..
1200	..
1200	n/a (female)
1200	..
1200	n/a (female)
1200	..
1427	n/a (female)
1378	..
1382	n/a (female)
1392	..
1466	n/a (female)
1487	K2b
1010	I1
1010	BT
1010	I2a1b1a2b1a2b
1010	R1b1a1b1a1a1c2b
1010	R1b1a1b1a1a1c1a2
1010	I1
1010	R1a1a1
1010	I1a2a1a1d1a1a
1010	R1b1a1b1a1a2
1010	I1
1010	I1
1010	I1
1010	I1a1b1a3a~
1010	R1b1a1b1a1a2a1b1a1a~
1010	I1
1010	R1b1a1b1a1a1b
945	n/a (female)
1010	R1a1a1b1a3a1
1010	I2a1b1a1a1b1a
1010	R1b1a1b1a1a1c2b
1010	R1b1a1b1a1
1010	I1a1b1a1
1010	R1b1a1b1a1a2b1
953	R1a1a1b1a3a1
953	I1a1b1b~
953	R1a1a1
953	R1b1a1b1a1a
953	Q1b2b1~
953	R1b1a1b1a1a2
953	I1
953	R1b1a1b1a1a2c1
953	R1a1a1
953	R1b1a1b1a1a1b
1227	I1a2a1a1d1a1a
1200	I1a2a1a1d1a1a
1244	I1a2a1a1d1a
1200	R1a1a1b1a2a
1200	N1a1a1a1a1a1a
1200	I1
1191	I1a2a1a1d1a
1200	R1a1a1b1a2b3a
1200	R1a1a1b1a2b3a
1200	R1a1a1b 
1200	I1a1b1
1200	N1a1a1a1a1a1a
1200	I1a2a1a1d1a1a
1200	I1a2a1a1d1a
1200	R1a1a1b1
1200	I1a
1200	I1a2a2a
1200	R1a1a1b1a3a2a1
1200	N1a1a1a1a1a
1200	N1a1a1a1a1a1a
1237	I1a
1121	I1a1b1
1200	N1a1a1a1a1a1a
1200	I1a1b1
1200	I1a1b1
1200	I1a1b1a1
1200	N1a1a1a1a1a1a
1200	I1a1b1
1200	N1a1a1a1a1a1a1b
1200	R1a1a1b1a3a1
1200	I1a2a1a1d
1200	I1a1b1
1120	I1
1200	I1a2a1a1d1a
740	..
685	..
575	..
740	..
600	n/a (female)
388	..
365	..
350	n/a (female)
350	R1b1a1b1a1a3b1a
350	R1a1a1b1a3a
350	R1a1a1b1a3a2b1a
350	R1b1a1b1a1a2c1a1a1a1a1a
350	R1a1a1b1a
350	R1a1a1b1a3a2a
350	R1b1a1b
350	n/a (female)
350	n/a (female)
350	R1b1a1b1a1a2c1a1f1
350	R1a1a1b1a3a1
350	I1
350	R1b1a1b1a1a3b1a
350	R1b1a1b1a1a2c1a2
350	R1a1a1b1a3a2b1a
900	R1b1a1b1a1
1400	n/a  (sex unknown)
1400	n/a (female)
1400	n/a (female)
1400	n/a (female)
1400	n/a  (sex unknown)
1400	n/a  (sex unknown)
1400	n/a  (sex unknown)
1388	n/a (female)
685	..
203	..
228	..
366	..
1350	G2a2b2a1a1b1a2a1a
1350	R1b1a2a1a2e2
1350	R1b1a2a1a2
1350	n/a (female)
1350	R1b1a2a1a
1350	I2a2a1b2
1350	R1b1a2a1a2c1g3
1350	R1a1a
1350	R1b1a2a1a2
1350	R1b1a2a1a2
1350	R1b1a2a1a2c1
1350	R1b1a2a2c1a1a
1350	G2a2
1350	I1a2a1a2
1350	R1b1a2a1a2
1350	G2a2b2a1a1b1a2a1a
1350	E1b1b1a1b1a
1150	R1b1a2a1a1c2b2a1a1
1150	R1b1a2a1a1c2b2b1a2
1150	J2b2a1a1
1150	n/a (female)
1150	R1b1a2a1a2
1150	I1
1150	J2b2a1a1
1150	n/a (female)
1150	R1b1a2
1150	R1b1a2a1a1c2b2a1a2
1150	n/a (female)
1150	n/a (female)
1150	J2b2a1a1
1150	J2b2a1a1
1150	I2a2a1b2a1
1200	n/a (female)
1200	n/a (female)
1200	R1a1a1b1a3b2
1200	n/a (female)
1200	I
1200	n/a (female)
