Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Y haplogroup (manual curation in ISOGG format)
3829	R1b1a1b1a1a2b1 (xZ2103, xZ2105)
3776	n/a (female)
3894	n/a (female)
3872	R1b1a1b1a1a2b1a1 (xZ2103, xZ2105)
3879	n/a (female)
3825	n/a (female)
3758	n/a (female)
3792	R1a1a1b - Z647
3777	n/a (female)
3835	R1b1a1b1a1a2 (xZ2103, xZ2105)
3773	n/a (female)
3843	n/a (female)
3763	n/a (female)
3865	R1b1a1b1a1a - L151
3864	R1b1a1b1a1a2 - P312
3813	R1b - P312
3782	R1b1a1b1a1 - P311
3757	n/a (female)
3931	n/a (female)
3790	R1b1a1b1a1a - L151 (xU106, xP312)
3918	R1b - P312
3866	R1b1a1b1a1a2b1 (xZ2103)
3961	n/a (female)
3993	n/a (female)
3871	n/a (female)
3770	n/a (female)
4176	R1b1a1b1a1a2 - P312
4031	R1b1a1b1a1a2 - P312
3749	R1b - P312
3932	R1b1a1b
3992	n/a (female)
3990	n/a (female)
3908	R1b - P312
3883	R1b - P312
3833	I2a2a
4054	n/a (female)
4235	R1b - P312
3927	n/a (female)
4057	I2a2
4096	n/a (female)
4005	n/a (female)
4013	I2a2
4104	I2a1
3849	R1b*
3902	n/a (female)
3657	n/a (female)
4000	n/a (female)
3995	n/a (female)
3995	n/a (female)
4000	n/a (female)
4000	I2a2
4000	n/a (female)
3774	I2a2
3943	n/a (female)
3809	n/a (female)
3800	n/a (female)
3796	n/a (female)
3550	n/a (female)
4066	n/a (female)
3930	n/a (female)
4000	n/a (female)
3936	n/a (female)
3789	n/a (female)
3872	R1b1a1b
3850	..
3850	..
3950	..
3770	R1b1a1b1a1 (xZ2103)
3775	R1b1a1b1a1a2 (xZ2103, xZ2105)
3932	R1b1a1b1a1a2 (xZ2103)
3846	R1b1a1b1a1a2b1 (xZ2105)
3807	R1b1a1b1a1a2b1? (xZ2103, xZ2105)
3773	R1b1a1b1a1a2b1
3866	R1b1a1b1a1a2b1 (xZ2103, xZ2105)
3765	R1b1a1b1a1a2b1
3921	R1b1a1b1a1a2 - P312
3941	R1b1a1b1a1a2 - P312
3800	G2a2b2a
3765	n/a (female)
4250	n/a (female)
3774	R1b1a1b1a1a2b1 (xZ2103)
3738	R1b1a1b
3761	R1a1a1b~
3853	R1b - P312
3801	R1b1a1b1a1a2 - P312
4070	I2a2
3887	R1b1a1b
3906	R1b1a1b1a1a2 - P312
4164	I2a2
4000	I2a2
4042	n/a (female)
3840	n/a (female)
3693	n/a (female)
3744	n/a (female)
4014	n/a (female)
3785	n/a (female)
3875	n/a (female)
3997	n/a (female)
4018	n/a (female)
4171	n/a (female)
3721	R1a - Z645
4020	n/a (female)
4072	n/a (female)
3761	n/a (female)
3776	n/a (female)
3810	n/a (female)
3825	n/a (female)
4017	n/a (female)
4131	n/a (female)
4053	n/a (female)
3950	..
3761	R1a1a1b~
3781	R1b1a1b1a1
3806	R1b1a1b1a1a2 (xZ2105)
3975	n/a (female)
7200	n/a (female)
5417	..
2239	n/a (female)
2625	n/a (female)
2625	..
2625	..
2593	n/a (female)
2592	..
2625	n/a (female)
2625	..
2625	..
2625	..
2625	..
2625	n/a (female)
2752	..
2507	n/a (female)
2250	..
2270	..
2225	n/a (female)
2255	..
2255	..
2185	n/a (female)
2240	..
2225	..
2240	n/a (female)
2230	n/a (female)
2255	n/a (female)
2256	n/a (female)
2170	..
2385	..
2275	..
2385	..
2235	..
2310	n/a (female)
2305	..
2250	n/a (female)
2250	..
2250	n/a (female)
2250	n/a (female)
2239	..
2046	..
2220	n/a (female)
2220	..
2255	..
2197	..
2250	..
2221	n/a (female)
2250	n/a (female)
2250	..
2250	..
2225	n/a (female)
2250	n/a (female)
2250	..
2250	..
2250	..
2275	..
2305	..
2223	..
2250	..
2250	n/a (female)
2250	n/a (female)
2255	..
2250	..
2250	n/a (female)
2230	..
2250	n/a (female)
2220	..
2250	..
2255	..
2350	n/a (female)
2255	n/a (female)
2250	..
2250	..
2250	n/a (female)
2250	..
2185	n/a (female)
2977	n/a (female)
2975	n/a (female)
2975	n/a (female)
3022	n/a (female)
2958	n/a (female)
3000	..
3000	n/a (female)
3000	..
3000	..
3035	..
3000	n/a (female)
3050	n/a (female)
3050	n/a (female)
2834	..
3050	..
3059	..
3050	n/a (female)
3050	n/a (female)
3050	n/a (female)
3022	n/a (female)
3050	n/a (female)
3000	n/a (female)
3050	..
2868	..
3050	n/a (female)
3000	..
2850	..
2850	n/a (female)
3050	n/a (female)
3000	n/a (female)
3000	n/a (female)
3050	..
3050	..
3050	n/a (female)
5526	n/a (female)
3325	..
3325	..
3325	n/a (female)
3325	n/a (female)
