Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Y haplogroup (manual curation in ISOGG format)
1225	650-800 calCE	n/a (female)
1250	600-800 CE	n/a (female)
1250	600-800 CE	..
1250	600-800 CE	..
1250	600-800 CE	n/a (female)
1250	600-800 CE	..
1250	600-800 CE	..
1250	600-800 CE	..
1250	600-800 CE	n/a (female)
1250	600-800 CE	n/a (female)
1250	600-800 CE	n/a (female)
1250	600-800 CE	n/a (female)
1250	600-800 CE	n/a (female)
1250	600-800 CE	..
1250	600-800 CE	..
1750	1-400 CE	n/a (female)
1840	27-206 calCE (1925±25 BP, UCIAMS-213628)	n/a (female)
1850	1-200 CE	..
1797	76-219 calCE (1895±25 BP, UCIAMS-213637)	..
1750	100-300 CE	..
1863	26-126 calCE (1940±15 BP, UCIAMS-198587)	n/a (female)
1750	100-300 CE	..
1750	100-300 CE	n/a (female)
1670	215-338 calCE (1790±25 BP, UCIAMS-213630)	..
1850	1-200 CE	..
1750	1-400 CE	n/a (female)
1850	1-200 CE	..
1850	1-200 CE	n/a (female)
1850	1-200 CE	..
1780	124-217 calCE (1875±15 BP, UCIAMS-198889)	..
1750	1-400 CE	n/a (female)
1650	242-350 calCE (1755±15 BP, UCIAMS-198589)	n/a (female)
1750	1-400 CE	..
1850	1-200 CE	..
1750	1-400 CE	..
1750	1-400 CE	n/a (female)
1750	1-400 CE	..
1750	1-400 CE	n/a (female)
1798	81-210 calCE (1900±15 BP, UCIAMS-198887)	n/a (female)
1750	1-400 CE	n/a (female)
1750	1-400 CE	n/a (female)
1750	1-400 CE	n/a (female)
1850	1-200 CE	n/a (female)
1750	1-400 CE	..
1655	241-341 calCE (1765±15 BP, UCIAMS-198588)	..
1750	1-400 CE	n/a (female)
1699	211-320 calCE (1810±15 BP, UCIAMS-198888)	..
1750	1-400 CE	n/a (female)
1750	100-300 CE	..
1750	100-300 CE	n/a (female)
1750	100-300 CE	n/a (female)
1750	100-300 CE	n/a (female)
1750	100-300 CE	n/a (female)
1850	1-200 CE	n/a (female)
1850	1-200 CE	..
1850	1-200 CE	n/a (female)
1850	1-200 CE	..
1450	400-600 CE	..
1450	400-600 CE	..
1450	400-600 CE	n/a (female)
1450	400-600 CE	..
1450	300-700 CE	..
1450	400-600 CE	n/a (female)
1538	261-535 calCE (1655±25 BP, UCIAMS-213627)	..
1319	601-660 calCE (1410±25 BP, UCIAMS-213629)	..
1450	400-600 CE	..
1450	400-600 CE	..
1450	400-600 CE	..
1450	400-600 CE	..
1450	400-600 CE	n/a (female)
1450	400-600 CE	n/a (female)
1550	300-500 CE	..
1550	300-500 CE	n/a (female)
1550	300-500 CE	n/a (female)
1550	300-500 CE	..
1550	300-500 CE	n/a (female)
1450	300-700 CE	..
1450	300-700 CE	..
1450	300-700 CE	..
1450	400-600 CE	n/a (female)
1450	400-600 CE	..
1109	771-950 calCE (1188±27 BP, MAMS-40625)	n/a (female)
972	895-1028 calCE (1064±27 BP, MAMS-40627)	..
991	893-1022 calCE (1081±27 BP, MAMS-40628)	n/a (female)
859	1023-1156 calCE (972±21 BP, MAMS-43993)	n/a (female)
1754	128-243 calCE (1844±23 BP, MAMS-43992)	..
1564	258-530 calCE (1668±27 BP, MAMS-40631)	..
300	1600-1700 CE	..
508	1421-1469 calCE (455±25 BP, UCIAMS-213632)	..
465	1480-1490 CE	..
465	1480-1490 CE	..
465	1480-1490 CE	..
520	1409-1450 calCE (485±25 BP, UCIAMS-213635)	..
525	1350-1500 CE	n/a (female)
525	1350-1500 CE	n/a (female)
595	1280-1430 CE	..
595	1280-1430 CE	..
735	1130-1300 CE	n/a (female)
960	970-1010 calCE	..
1095	772-955 calCE (1175±25 BP, UCIAMS-213633)	..
935	978-1120 calCE (1025±25 BP, UCIAMS-213634)	..
525	1350-1500 CE	..
602	1299-1400 calCE (615±25 BP, UCIAMS-213636)	n/a (female)
595	1280-1430 CE	..
595	1280-1430 CE	..
595	1280-1430 calCE	..
595	1280-1430 CE	n/a (female)
595	1280-1430 CE	n/a (female)
850	700-1500 CE	..
1045	820-990 calCE	..
1045	820-990 CE	n/a (female)
840	1070-1150 calCE	..
840	1070-1150 calCE	n/a (female)
300	1600-1700 CE	..
300	1600-1700 CE	n/a (female)
800	1000-1300 CE	L1a1b
800	1000-1300 CE	n/a (female)
766	1047-1268 calCE (860±35 BP, LTL-14331A)	R1b1a1b1a1a2
700	1215-1288 calCE (775±35 BP, LTL-14332A)	R1b1a1b1b3a
800	1000-1300 CE	n/a (female)
1345	580-630 CE	n/a (female)
1345	580-630 CE	R1b1a2a1a
1345	580-630 CE	R1b1a2a1a2c1g1a1
1345	580-630 CE	R1b1a2a1a
1345	580-630 CE	..
1345	580-630 CE	R1b1a2a1a
1345	580-630 CE	n/a (female)
1345	580-630 CE	n/a (female)
1345	580-630 CE	n/a (female)
1345	580-630 CE	R1b1a2a1a
1345	580-630 CE	T1a2b
1345	580-630 CE	n/a (female)
1345	580-630 CE	n/a (female)
1345	580-630 CE	R1b1a1a2a1a2b1a
1345	580-630 CE	R1b1a2a
1345	580-630 CE	R1b1a2a1a
1345	580-630 CE	I1a3
1345	580-630 CE	R1b1a1a2a1a2f
1345	580-630 CE	R1b1a2a2
1345	580-630 CE	n/a (female)
1345	580-630 CE	R1b1a1a2a1a2
1345	580-630 CE	E1b1b1a1b1a3
1345	580-630 CE	R1b1a2a
1345	580-630 CE	G2a1a1
1106	772-943 calCE (1182±21 BP, MAMS-38279)	..
1017	885-992 calCE (1124±23 BP, MAMS-38279)	n/a (female)
1005	892-994 calCE (1100±20 BP, PSUAMS-6157)	..
1306	607-660 calCE (1398±13 BP) [R_combine: (1465±15 BP, PSUAMS-5283); (1275±20 BP, PSUAMS-6158)]	..
1597	257-415 calCE (1700±25 BP, PSUAMS-5427)	..
603	1302-1398 calCE (615±17 BP, MAMS-39534)	..
604	1297-1396 calCE (627±19 BP, MAMS-39535)	..
481	1440-1611 calCE (411±19 BP, MAMS-39536)	n/a (female)
674	1261-1295 calCE (737±19 BP, MAMS-39537)	..
1775	100-250 CE	n/a (female)
1745	126-310 calCE (1837±26 BP, MAMS-39522)	..
1772	125-234 calCE (1863±22 BP, MAMS-39519)	n/a (female)
1089	772-972 calCE (1172±27 BP, MAMS-40634)	..
1638	245-381 calCE (1743±21 BP, MAMS-36115)	..
877	997-1153 calCE (986±19 BP, MAMS-42832)	..
1000	700-1200 CE	..
1114	773-888 calCE (1193±21 BP, MAMS-42826)	n/a (female)
1088	772-957 calCE (1168±20 BP, MAMS-42828)	n/a (female)
1000	700-1200 CE	n/a (female)
1000	700-1200 CE	..
982	896-1023 calCE (1075±19 BP, MAMS-42830)	n/a (female)
944	987-1030 calCE (1043±19 BP, MAMS-42831)	..
1338	573-647 calCE (1458±24 BP, UBA-40246)	n/a (female)
1379	541-603 calCE (1512±20 BP, PLD-39692)	..
1325	595-655 calCE (1428±23 BP, UBA-40248)	n/a (female)
1627	253-402 calCE (1728ʱ13 BP)	..
1615	251-410 calCE (1720±25 BP)	..
1716	132-323 calCE (1821±21 BP)	..
1667	234-326 calCE (1789ʱ13 BP)	n/a (female)
1629	252-402 calCE (1730ʱ13 BP)	n/a (female)
1630	250-402 calCE (1733ʱ18 BP)	..
550	1200-1600 CE	..
550	1200-1600 CE	..
200	1650-1850 CE	..
200	1650-1850 CE	..
1552	364-423 calCE (1666ʱ13 BP)	..
1588	250-527 calCE (1687±37 BP, UBA-31224)	n/a (female)
1765	129-235 calCE (1855±20 BP, PSUAMS-9247)	..
1700	50-450 CE	n/a (female)
1697	124-375 calCE (1805±49 BP, UBA-33606)	..
1688	134-340 calCE (1804±28 BP, UBA-31227)	..
1700	50-450 CE	n/a (female)
1017	886-979 calCE (1135±15 BP, PSUAMS-9325); 885-1025 calCE (1089±38 BP, UBA-33607)	..
1100	750-950 CE	..
883	995-1153 calCE (990±20 BP, PSUAMS-8993)	..
1050	700-1100 CE	..
1259	605-775 calCE (1352±45 BP, UBA-31205)	..
850	1000-1200 CE	..
840	1036-1206 calCE (920±25 BP, UBA-31146)	..
1723	131-318 calCE (1825±20 BP, PSUAMS-5723)	..
1245	648-775 calCE (1332±32 BP, UBA-31226)	..
991	890-1025 calCE (1078±37 BP, UBA-31228)	..
692	1224-1284 calCE (761±28 BP, UBA-31230)	n/a (female)
1126	678-975 calCE (1203±50 BP, UBA-31208)	..
1000	600-1300 CE	..
1600	200-500 CE	n/a (female)
1596	241-530 calCE (1697±45 BP, UBA-31209)	..
1508	265-539 calCE (1641±33 BP, UBA-31149)	..
1790	81-220 calCE (1889±22 BP)	..
1109	772-891 calCE (1185±18 BP)	..
1250	600-800 CE	..
1000	800-1100 CE	..
1000	800-1100 CE	n/a (female)
1616	214-528 calCE (1722±55 BP, UBA-31229)	..
1627	252-402 calCE (1729±15 BP) [R_combine: (1685±39 BP, UBA-33603); (1735±15 BP, PSUAMS-9160)]	..
1350	300-900 CE	..
1231	645-822 calCE (1315±45 BP, UBA-31206)	..
1641	249-375 calCE (1741ʱ14 BP)	..
1650	100-500 CE	n/a (female)
1650	100-500 CE	..
1653	242-342 calCE (1762ʱ14 BP)	..
1622	255-402 calCE (1724±12 BP)	..
402	1459-1628 calCE (388±27 BP, OxA-30803)	..
268	1639-1797 calCE (270±15 BP, PSUAMS-4938)	E1b1b1b2b2a1; E-M293
604	1296-1394 calCE (635±15 BP, PSUAMS-4939)	n/a (female)
960	903-1023 calCE (1110±15 BP, PSUAMS-4942)	E1b1b1b2b; E-V1515 (probably E-M293 but not covered)
1011	893-990 calCE (1160±15 BP, PSUAMS-4625)	E1b1a1a1a1a; E-M58
1009	892-992 calCE (1110±15 BP, PSUAMS-4743)	..
1013	891-987 calCE (1170±15 BP, PSUAMS-4788)	..
213	1640-1950 calCE (222±28 BP, SUERC-86058) 	n/a (female)
808	1044-1220 calCE (895±28 BP, SUERC-86059) 	n/a (female)
1786	119-216 calCE (1895±15 BP, PSUAMS-4783)	E1b1b1a1b2; E-V22
1364	541-637 calCE (1532±21 BP, OxA-37360)	E1b1b1b2b(E-M293,E-M293)
1654	229-358 calCE (1800±20 BP, PSUAMS-4940)	E1b1b1b2b2a1; E-M293
1426	436-580 calCE (1585±15 BP, PSUAMS-4943)	n/a (female)
1776	123-229 calCE (1880±15 BP, PSUAMS-4741)	n/a (female)
1719	130-324 calCE (1822±25 BP)	..
1700	100-400 CE	..
1592	259-415 calCE (1696±22 BP)	..
1700	100-400 CE	..
1700	100-400 CE	n/a (female)
1632	248-402 calCE (1736±21 BP)	..
1621	252-405 calCE (1725±18 BP)	..
735	1161-1272 calCE (833±34 BP, UBA-31218)	..
761	1049-1269 calCE (856±35 BP, UBA-31221)	n/a (female)
851	1030-1160 calCE (950±27 BP, UBA-31223)	n/a (female)
757	1046-1278 calCE (841±50 BP, UBA-31212)	n/a (female)
139	1670-1950 calCE (143±27 BP, UBA-31222)	..
1129	709-884 calCE (1213±21 BP)	..
1802	26-240 calCE (1891±44 BP, UBA-31195)	n/a (female)
1656	166-412 calCE (1770±50 BP, UBA-31201)	..
1666	133-405 calCE (1781±46 BP, UBA-31203)	..
1802	26-242 calCE (1890±46 BP, UBA-31211)	n/a (female)
1615	235-425 calCE (1719±48 BP, UBA-31213)	..
1664	212-351 calCE (1783±29 BP, UBA-31214)	..
1600	1-700 CE	n/a (female)
1458	415-575 calCE (1577±42 BP, UBA-31173)	..
1472	411-547 calCE (1606±33 BP, UBA-31161)	..
1594	255-421 calCE (1693±31 BP, UBA-31163)	..
1494	265-547 calCE (1629±40 BP, UBA-31191)	..
1435	431-594 calCE (1546±33 BP, UBA-31192)	n/a (female)
1354	550-645 calCE (1479±31 BP, UBA-31193)	n/a (female)
1509	266-539 calCE (1642±31 BP, UBA-31194)	n/a (female)
1575	250-535 calCE (1679±44 BP, UBA-31197)	n/a (female)
1618	236-421 calCE (1723±48 BP, UBA-31198)	..
1492	264-555 calCE (1624±46 BP, UBA-31199)	..
1600	236-531 calCE (1704±52 BP, UBA-31200)	n/a (female)
1779	33-320 calCE (1867±46 BP, UBA-31202)	n/a (female)
1608	250-418 calCE (1709±34 BP, UBA-31210)	..
1627	246-405 calCE (1734±32 BP, UBA-31196)	n/a (female)
1739	125-321 calCE (1833±32 BP, UBA-31217)	..
1461	413-573 calCE (1582±42 BP, UBA-31204)	..
1804	31-235 calCE (1896±37 BP, UBA-41186)	n/a (female)
710	1184-1273 calCE (812±22 BP)	..
702	1212-1285 calCE (780±35 BP)	..
800	1000-1300 CE	..
800	1000-1300 CE	..
851	1030-1161 calCE (949±29 BP)	..
800	1000-1300 CE	..
800	1000-1300 CE	..
725	1159-1283 calCE (811±45 BP)	..
698	1222-1280 calCE (774±27 BP)	..
1525	200-650 CE	n/a (female)
1610	250-416 calCE (1712±36 BP)	..
1406	433-641 calCE (1517±49 BP, )	n/a (female)
1627	246-405 calCE (1734±33 BP)	n/a (female)
1600	50-650 CE	..
915	992-1121 calCE (1000±15 BP, UCIAMS-186345)	n/a (female)
378	1505-1653 calCE (299±23 BP, OxA-35072)	..
432	1448-1625 calCE (383±23 BP, OxA-35073)	..
340	1540-1680 CE	n/a (female)
340	1540-1680 CE	..
340	1540-1680 CE	..
340	1540-1680 CE	n/a (female)
388	1485-1637 calCE (335±20 BP, PSUAMS-4430)	n/a (female)
340	1540-1680 CE	n/a (female)
340	1540-1680 CE	n/a (female)
431	1451-1624 calCE (380±20 BP, PSUAMS-4431)	..
340	1540-1680 CE	n/a (female)
340	1540-1680 CE	..
500	1200-1700 CE	..
500	1200-1700 CE	..
500	1200-1700 CE	..
500	1200-1700 CE	..
500	1200-1700 CE	..
500	1200-1700 CE	..
383	1501-1646 calCE (310±20 BP, PSUAMS-8280)	..
399	1472-1632 calCE (355±15 BP, PSUAMS-4020)	n/a (female)
488	1436-1490 calCE (420±20 BP, PSUAMS-4021)	n/a (female)
514	1420-1454 calCE (470±20 BP, PSUAMS-11034)	n/a (female)
246	1644-1797 calCE (235±15 BP, PSUAMS-11009)	..
246	1644-1797 calCE (235±15 BP, PSUAMS-12040)	..
288	1636-1795 calCE (255±15 BP, PSUAMS-12041)	..
523	1409-1444 calCE (495±20 BP, PSUAMS-11035)	..
500	1400-1500 CE	n/a (female)
504	1426-1467 calCE (445±20 BP PSUAMS-11917)	..
500	1400-1500 CE	..
1616	250-411 calCE (1720±30 BP, Poz-91120)	n/a (female)
1250	500-900 CE	..
1075	700-1050 CE	n/a (female)
1075	700-1050 CE	n/a (female)
1075	700-1050 CE	..
1075	700-1050 CE	..
1075	700-1050 CE	..
1075	700-1050 CE	n/a (female)
1088	772-950 calCE (1166±15 BP, GrM-12924)	..
1075	700-1050 CE	n/a  (sex unknown)
1075	700-1050 CE	..
1075	700-1050 CE	n/a (female)
1075	700-1050 CE	n/a (female)
540	1328-1436 calCE (531±20 BP, MAMS-41136)	n/a (female)
700	1000-1500 CE	n/a (female)
700	1000-1500 CE	n/a (female)
1231	660-775 calCE (1307±23 BP, MAMS-41130)	..
1623	250-406 calCE (1728±23 BP, MAMS-41121)	n/a (female)
1250	500-900 CE	..
1075	550-1200 CE	n/a (female)
1324	596-656 calCE (1425±25 BP)	..
867	1021-1154 calCE (980±20 BP)	n/a (female)
1075	550-1200 CE	..
850	1033-1158 calCE (950±20 BP)	..
1227	671-774 calCE (1280±20 BP, MAMS-41138)	n/a (female)
846	1035-1172 calCE (928±23 BP, MAMS-41127)	..
700	1000-1500 CE	n/a (female)
700	1000-1500 CE	..
700	1000-1500 CE	..
700	1000-1500 CE	..
700	1000-1500 CE	..
700	1000-1500 CE	n/a (female)
700	1000-1500 CE	n/a (female)
700	1000-1500 CE	n/a (female)
700	1000-1500 CE	..
700	1000-1500 CE	..
1890	10-120 calCE (1964±15 BP, GrM-12931)	n/a (female)
700	1000-1500 CE	..
700	1000-1500 CE	..
1483	408-537 calCE (1625±20 BP, UCIAMS-226554, PSUG-5469)	R1b2b-BY14575
700	1000-1500 CE	n/a (female)
700	1000-1500 CE	n/a (female)
704	1221-1272 calCE (797±20 BP, MAMS-41134)	..
700	1000-1500 CE	n/a (female)
700	1000-1500 CE	..
1248	651-774 calCE (1331±23 BP, MAMS-41128)	..
746	1163-1260 calCE (848±23 BP, MAMS-41119)	..
1864	26-125 calCE (1941±15 BP, GrM-12934)	..
700	1000-1500 CE	..
700	1000-1500 CE	..
600	1250-1450 CE	..
604	1292-1396 calCE (634±23 BP, MAMS-41131)	..
700	1000-1500 CE	n/a (female)
700	1000-1500 CE	n/a (female)
700	1000-1500 CE	..
700	1000-1500 CE	..
700	1000-1500 CE	..
700	1000-1500 CE	n/a (female)
600	1305-1404 calCE (598±19 BP, MAMS-41133)	n/a (female)
601	1305-1403 calCE (599±20 BP, MAMS-41132)	n/a (female)
600	1250-1450 CE	n/a (female)
1225	676-819 calCE (1262±15 BP, GrM-12981)	..
1885	17-121 calCE (1960±15 BP, GrM-12936)	..
700	1000-1500 CE	..
700	1000-1500 CE	n/a (female)
700	1000-1500 CE	..
700	1000-1500 CE	..
700	1000-1500 CE	..
700	1000-1500 CE	..
700	1000-1500 CE	..
700	1000-1500 CE	..
700	1000-1500 CE	..
719	1176-1270 calCE (824±23 BP, MAMS-41120)	..
700	1000-1500 CE	..
700	1000-1500 CE	n/a (female)
700	1000-1500 CE	..
700	1000-1500 CE	..
1878	23-121 calCE (1954±15 BP, GrM-12988)	n/a (female)
700	1000-1500 CE	n/a (female)
700	1000-1500 CE	n/a (female)
700	1000-1500 CE	n/a (female)
700	1000-1500 CE	n/a (female)
700	1000-1500 CE	n/a (female)
700	1000-1500 CE	..
574	1323-1423 calCE (558±20 BP, MAMS-41139)	n/a (female)
726	1175-1267 calCE (831±23 BP, MAMS-41125)	..
700	1000-1500 CE	n/a (female)
1500	200-700 CE	..
1500	200-700 CE	..
1500	200-700 CE	n/a (female)
1500	200-700 CE	..
1400	400-700 CE	n/a (female)
1458	420-565 calCE	n/a (female)
1417	431-635 calCE	n/a (female)
1483	396-539 calCE	n/a (female)
1000	900-1000 CE	I2a1a1
950	900-1100 CE	n/a (female)
950	900-1100 CE	R1b1a2a1a1b
925	950-1100 CE	R1b1a2a1a1e
950	900-1100 CE	n/a (female)
1050	800-1000 CE	R1b1a2a1a1a
1075	750-1000 CE	R1b1a2a1a1c
1075	750-1000 CE	n/a (female)
950	900-1100 CE	n/a (female)
1050	800-1000 CE	R1b1a2a1b1
1000	900-1000 CE	I2a2a1b
950	900-1100 CE	n/a (female)
1100	800-900 CE	I1a1b
1200	700-800 CE	R1b1a2a1a1c2b1b
900	1000-1100 CE	R1b1a2a1a2a1
950	900-1100 CE	R1b1a2a1a1c2b2a1
900	1000-1100 CE	R1b1a2a1a2
950	900-1100 CE	n/a (female)
900	1000-1100 CE	n/a (female)
1450	400-600 CE	R1a1a1b1a3a1
1450	400-600 CE	n/a (female)
1600	300-400 CE	R1b1a1b1a1a1b
1450	1-1000 CE	n/a (female)
750	1100-1300 CE	F
750	1100-1300 CE	n/a  (sex unknown)
750	1100-1300 CE	n/a (female)
750	1100-1300 CE	n/a (female)
750	1100-1300 CE	R1b1a1b1a1
750	1100-1300 CE	n/a (female)
750	1100-1300 CE	n/a (female)
950	900-1100 CE	R1a1a
1100	800-900 CE	n/a (female)
1200	500-1000 CE	I1
1000	800-1100 CE	R1b1a1b1a1a2c1a1f1a
950	900-1100 CE	n/a (female)
800	700-1600 CE	I1
1000	900-1000 CE	R1b1a1b1a1a1c2b2a1b1a4b
1100	700-1000 CE	n/a (female)
1000	900-1000 CE	n/a (female)
1000	900-1000 CE	R1a1a1b1a3
950	900-1100 CE	R1a1a1b1a3a2a
1050	700-1100 CE	n/a (female)
1100	600-1100 CE	n/a (female)
1200	500-1000 CE	N1a1a1a1a1a1a
1050	700-1100 CE	I1
1000	900-1000 CE	R1a1a1b1a3a2
1050	700-1100 CE	n/a (female)
1200	500-1000 CE	R1a1a1b1a3a1
1000	900-1000 CE	I1a2a1a1d1a
1000	900-1000 CE	R1a1a1b1a3a2
1000	900-1000 CE	n/a (female)
1000	900-1000 CE	I1a2a1a1d1a
1100	800-900 CE	n/a (female)
1100	800-900 CE	n/a (female)
1150	700-900 CE	R1b1a1b1a1a2c1a4d1
1150	700-900 CE	I1a1b1a4a2
1000	900-1000 CE	n/a (female)
1050	700-1100 CE	I1a1b1a4a2
1100	800-900 CE	n/a (female)
619	1279-1389 calCE (670±25 BP, PSUAMS-4427)	..
605	1290-1395 calCE (640±20 BP, PSUAMS-6205)	..
853	1028-1157 calCE (960±20 BP, PSUAMS-6206)	n/a (female)
1450	1-1000 CE	..
1121	706-945 calCE (1200±30 BP, Beta-428663)	..
1450	1-1000 CE	..
728	1176-1264 calCE (835±15 BP, PSUAMS-4428)	..
382	1490-1649 calCE (310±30 BP, Beta-428668)	..
822	1041-1217 calCE (905±30 BP, Poz-83508)	..
825	1000-1250 CE	..
300	1600-1700 CE	n/a (female)
300	1600-1700 CE	n/a (female)
300	1600-1700 CE	..
425	1500-1550 CE	n/a (female)
300	1600-1700 CE	..
425	1500-1550 CE	..
990	895-1020 calCE (1081±18 BP)	..
1316	602-661 calCE (1405±26 BP)	..
944	987-1030 calCE (1043±19 BP)	..
610	1283-1392 calCE (656±24 BP)	..
1061	773-977 calCE (1156±24 BP)	..
1023	775-993 calCE (1132±23 BP)	..
763	1053-1225 calCE (868±21 BP)	n/a (female)
547	1327-1430 calCE (539±19 BP)	..
603	1302-1399 calCE (613±19 BP)	..
1237	656-775 calCE (1318±20 BP)	..
945	985-1030 calCE (1085±20 BP, PSUAMS-1620)	..
650	1200-1400 CE	..
675	1100-1450 CE	n/a (female)
650	1200-1400 CE	n/a (female)
500	1400-1500 CE	n/a  (sex unknown)
500	1400-1500 CE	n/a  (sex unknown)
500	1400-1500 CE	n/a  (sex unknown)
500	1400-1500 CE	n/a  (sex unknown)
500	1400-1500 CE	n/a  (sex unknown)
500	1400-1500 CE	n/a  (sex unknown)
552	1325-1430 calCE (590±20 BP, UCIAMS-226335)	n/a (female)
575	1250-1500 CE	n/a (low coverage)
506	1425-1459 calCE (495±20 BP, UCIAMS-226337)	n/a (low coverage)
575	1250-1500 CE	n/a (female)
467	1445-1613 calCE (450±20 BP, UCIAMS-226333)	n/a (female)
533	1398-1439 calCE ( 565±20 BP, UCIAMS-226334)	Q1a2a1a
1550	200-600 CE	n/a (female)
1550	200-600 CE	..
1095	710-1015 calCE (1388±18 BP, MAMS-25006)	..
1335	525-705 calCE (1650±20 BP, PSUAMS-1607)	n/a (female)
1095	710-1010 calCE (1390±15 BP, UCIAMS-186351)	..
1025	750-1100 CE	..
700	1100-1400 CE	..
700	1100-1400 CE	n/a (female)
700	1100-1400 CE	n/a (female)
860	1030-1150 calCE (995±20 BP, PSUAMS-1614)	..
925	900-1150 CE	..
815	1050-1220 calCE (920±20 BP, PSUAMS-1615)	..
1060	790-990 calCE (1187±26 BP, MAMS-12302)	..
1125	750-900 CE	n/a (female)
825	1040-1210 calCE (950±20 BP, PSUAMS-1603)	n/a (female)
470	1400-1560 CE	..
1575	100-650 CE	..
1500	200-700 CE	..
1220	635-860 calCE (1493±29 BP, OxA-31120)	n/a (female)
615	1230-1415 calCE (866±28 BP, OxA-31119)	n/a (female)
540	1315-1470 calCE (745±23 BP, OxA-31424)	n/a (female)
555	1300-1455 calCE (773±24 BP, OxA-31425)	n/a (female)
685	1065-1405 calCE (955±65 BP, OxA-31423)	..
865	985-1195 calCE (1156±22 BP, OxA-31422)	..
1250	500-900 CE	n/a (female)
700	1215-1280 calCE (820±24 BP, MAMS-12301) 	n/a (female)
600	1310-1405 calCE (648±19 BP, MAMS-27353)	..
600	1310-1405 calCE (640±20 BP, PSUAMS-1613)	n/a (female)
735	1175-1270 calCE (875±20 BP, PSUAMS-1604)	..
590	1315-1410 calCE (629±19 BP, MAMS-27352)	..
765	900-1470 CE	..
765	900-1470 CE	..
765	900-1470 CE	..
685	1185-1390 calCE (965±20 BP, PSUAMS-1606)	n/a (female)
925	750-1300 CE	..
925	750-1300 CE	n/a (female)
925	750-1300 CE	..
550	1325-1425 calCE (595±15 BP, PSUAMS-1605)	n/a (female)
540	1390-1435 calCE (580±20 BP, PSUAMS-1616)	..
935	985-1045 calCE (1065±20 BP, PSUAMS-1905)	..
1475	417-533 calCE (1630±20 BP, UCIAMS-191894)	..
1697	140-338 calCE (1830±20 BP, UCIAMS-191891)	n/a (female)
1658	225-341 calCE (1805±20 BP, UCIAMS-191892)	n/a (female)
1778	120-231 calCE (1885±20 BP, UCIAMS-191893)	..
1625	100-550 CE	n/a (female)
495	1430-1485 calCE (425±20 BP, PSUAMS-1611)	..
605	1295-1400 calCE (615±20 BP, PSUAMS-1610)	..
605	1285-1395 calCE (640±20 BP, PSUAMS-1612)	..
1395	470-630 calCE (1558±25 BP, OxA-26973)	n/a (female)
1320	585-675 calCE (1455±32 BP, OxA-26974)	..
950	905-1030 calCE (1088±24 BP, OxA-26975)	n/a (female)
1025	750-1100 CE	n/a (female)
1783	84-235 calCE (1877±27 BP, OxA-34843)	n/a (female)
800	1000-1300 CE	I2a
800	1000-1300 CE	R1b1a1b
950	900-1100 CE	n/a (female)
950	900-1100 CE	R1a1a
950	900-1100 CE	n/a (female)
950	900-1100 CE	R1a1a1b1a2a
950	900-1100 CE	I1
1059	892-1021 calCE (1085±30 BP, Poz-68711)	R
908	990-1154 calCE (1010±30 BP, Poz-75117)	R1a1a1b
950	900-1100 CE	R1a1a
950	500-1500 CE	..
1014	889-989 calCE (1120±20 BP, PSUAMS-7455)	..
1000	800-1100 CE	n/a (female)
1315	604-660 calCE (1405±20 BP, PSUAMS-7454)	n/a (female)
612	1283-1388 calCE (663±15 BP, MAMS-42236)	Q1b1a1a1
1000	800-1100 CE	..
1081	690-1015 calCE (1162±60 BP, AA-82404)	n/a (female)
672	1219-1386 calCE (735±44 BP, AA-83925)	n/a (female)
925	650-1400 CE	Q1b1a1a
862	994-1163 calCE (973±41 BP, AA-75123)	Q1b1a1a
801	1037-1256 calCE (885±44 BP, AA-79346)	Q1b1a1a1
900	901-1159 calCE (1010±42 BP, AA-75124)	Q1b1a1a1
862	994-1163 calCE (973±41 BP)	..
672	1219-1386 calCE (735±44 BP, AA-83925)	n/a (female)
925	650-1400 CE	n/a (female)
1367	546-638 calCE (1496±22 BP, MAMS-43999)	n/a (female)
1175	500-1050 CE	..
1026	774-1020 calCE (1118±44 BP, AA-72884)	..
1175	500-1050 CE	n/a (female)
1132	678-957 calCE (1208±45 BP, AA-79408)	CT
701	1224-1275 calCE (785±20 BP, PSUAMS-7457)	n/a (female)
850	900-1300 CE	n/a (female)
850	900-1300 CE	n/a (female)
1333	560-664 calCE (1434±44 BP, AA-78492)	n/a (female)
1068	773-992 calCE (1156±46 BP, AA-82399)	n/a (female)
953	901-1029 calCE (1055±20 BP, PSUAMS-8307)	..
943	991-1025 calCE (1045±15 BP, PSUAMS-7904)	..
1300	450-850 CE	..
1300	450-850 CE	n/a (female)
1300	450-850 CE	n/a (female)
1300	450-850 CE	..
850	850-1350 CE	n/a (female)
1050	450-1350 CE	..
613	1279-1394 calCE (660±30 BP, Beta-453089)	I*
1299	601-758 calCE (1380±30 BP, Beta-453077)	C2b1a1b1
150	1700-1900 CE	n/a (female)
150	1700-1900 CE	..
769	1053-1223 calCE (875±20 BP, PSUAMS-2115)	n/a (female)
1757	122-303 calCE (1846±28 BP, UBA-34050)	..
1721	125-330 calCE (1822±35 BP, UBA-34061)	..
