Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Y haplogroup (manual curation in ISOGG format)
603	1300-1398 calCE (620±20 BP, PSUAMS-7387)	n/a (female)
660	1271-1378 calCE (710±20 BP, PSUAMS-7386)	..
602	1302-1400 calCE (610±20 BP, PSUAMS-7355)	n/a (female)
666	1267-1299 calCE (720±20 BP, PSUAMS-7292)	n/a (female)
1229	660-774 calCE (1300±30 BP, Poz-84461)	n/a (female)
1200	600-900 CE	n/a (female)
1462	429-550 calCE (1575±20 BP, PSUAMS-10119)	n/a (female)
1009	892-992 calCE (1110±20 BP, PSUAMS-10059)	n/a (female)
199	1653-1950 calCE (205±15 BP, PSUAMS-10054)	n/a (female)
1230	660-780 calCE	I1a1b1a1
1200	670-830 calCE	I1a1b1
1100	700-1000 CE 	n/a (female)
1100	700-1000 CE 	n/a (female)
1100	700-1000 CE 	I1a1b1a1
1100	700-1000 CE 	I1
1561	260-530 calCE (1666±25 BP, AAR-23142)	n/a (female)
1650	200-400 CE	I1a2a2a
1850	1-200 CE	I1a2a
1900	1-100 CE	I2a1b1a
1100	800-900 CE	n/a (female)
1000	800-1100 CE	n/a (female)
1000	800-1100 CE	G2a
1025	900-950 CE	n/a  (sex unknown)
1075	850-900 CE	n/a (female)
1075	850-900 CE	n/a (female)
1075	850-900 CE	n/a (female)
1000	900-1000 CE	J2a1a1a2b2
1000	800-1100 CE	R1b1a1b1a1a1c2b1
1050	700-1100 CE	R1b1a1b1a1a1c2b2a1b1a
1000	800-1100 CE	R1b1a1b1a1a2b1c1
1000	800-1100 CE	R1a1a1b1a1a1c1
1000	900-1000 CE	n/a (female)
1100	800-900 CE	R1b1a1b
1000	900-1000 CE	R1a1a1b1a2b3a
1000	900-1000 CE	I1c
1000	900-1000 CE	n/a (female)
1000	800-1100 CE	n/a (female)
1000	900-1000 CE	I1a1b
1000	800-1100 CE	I2a1b1a
1000	900-1000 CE	I1a1b1a1
1000	900-1000 CE	R1a1a1b1a2b
1000	800-1100 CE	n/a (female)
1000	900-1000 CE	n/a (female)
1000	900-1000 CE	R1b1a1b1a1a2b1a1
1000	900-1000 CE	R1b1a1b1a1a2c1a2a1a1a1
1000	900-1000 CE	n/a (female)
1100	800-900 CE	R1b1a1b1a1a1a
