Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Y haplogroup (manual curation in ISOGG format)
1956	72 BCE - 60 CE	..
1872	33 calBCE - 201 calCE (1947±26 BP, OxA-3163)	n/a (female)
1956	72 BCE - 60 CE	..
3128	1267-1056 calBCE (2965±25 BP, PSUAMS-7157)	..
3318	1439-1293 calBCE (3110±25 BP, PSUAMS-7162)	..
3320	1434-1300 calBCE (3110±20 BP, UCIAMS-226541, PSUG-5449)	..
3325	1438-1302 calBCE (3115±20 BP, PSUAMS-7201)	n/a (female)
3150	1250-1150 BCE	n/a (female)
3074	1213-1048 calBCE (2925±20 BP, PSUAMS-9001)	n/a (female)
3216	1382-1134 calBCE (3015±20 BP, PSUAMS-7539)	..
2977	1115-932 calBCE (2860±20 BP, PSUAMS-7889)	n/a (female)
3083	1214-1050 calBCE (2930±20 BP, PSUAMS-7890)	..
2941	1077-920 calBCE (2840±20 BP, PSUAMS-7896)	n/a (female)
3150	1250-1150 BCE	n/a (female)
3217	1385-1131 calBCE (3015±25 BP, PSUAMS-9006)	..
3125	1250-1100 BCE	..
3125	1250-1100 BCE	..
3125	1250-1100 BCE	..
3125	1250-1100 BCE	..
3285	1420-1250 BCE	..
3285	1420-1250 BCE	..
3025	1150-1000 BCE	n/a (female)
3066	1212-1018 calBCE (2920±25 BP, PSUAMS-9007)	n/a (female)
3125	1250-1100 BCE	n/a (female)
3285	1420-1250 BCE	..
3125	1250-1100 BCE	n/a (female)
3025	1150-1000 BCE	..
3285	1420-1250 BCE	n/a (female)
3125	1250-1100 BCE	..
3125	1250-1100 BCE	..
3125	1250-1100 BCE	n/a (female)
3285	1420-1250 BCE	..
3025	1150-1000 BCE	..
3125	1250-1100 BCE	n/a (female)
3285	1420-1250 BCE	n/a (female)
3285	1420-1250 BCE	n/a (female)
2986	1117-935 calBCE (2865±20 BP, PSUAMS-9008)	..
3052	1203-1014 calBCE (2910±25 BP, PSUAMS-9009)	..
2911	1012-906 calBCE (2810±20 BP, PSUAMS-8889)	n/a (female)
3135	1263-1121 calBCE (2970±20 BP, PSUAMS-9011)	n/a (female)
2793	900-805 calBCE (2690±20 BP, PSUAMS-9012)	..
2896	1013-846 calBCE (2795±25 BP, PSUAMS-9013)	..
2690	800-680 BCE	n/a (female)
2690	800-680 BCE	n/a (female)
2690	800-680 BCE	..
2690	800-680 BCE	..
2690	800-680 BCE	..
2875	1050-800 BCE	n/a (female)
2875	1050-800 BCE	..
2875	1050-800 BCE	..
2875	1050-800 BCE	n/a (female)
2877	1002-841 calBCE (2780±20 BP, PSUAMS-7884)	n/a (female)
2875	1050-800 BCE	..
2875	1050-800 BCE	..
2986	1122-931 calBCE (2865±25 BP, UCIAMS-226540, PSUG-5446)	..
2915	1042-906 calBCE (2815±20 BP, PSUAMS-7158)	..
3150	1250-1150 BCE	n/a (female)
3285	1420-1250 BCE	n/a (female)
3285	1420-1250 BCE	n/a (female)
3125	1250-1100 BCE	..
3125	1250-1100 BCE	..
3125	1250-1100 BCE	..
3125	1250-1100 BCE	..
3285	1420-1250 BCE	n/a (female)
3285	1420-1250 BCE	n/a (female)
3285	1420-1250 BCE	..
3125	1250-1100 BCE	n/a (female)
3285	1420-1250 BCE	n/a (female)
3050	1150-1050 BCE	..
2865	1050-780 BCE	..
3050	1150-1050 BCE	..
3285	1420-1250 BCE	n/a (female)
2750	1000-600 BCE	..
3050	1150-1050 BCE	..
3285	1420-1250 BCE	..
3390	1500-1380 BCE	n/a (female)
3050	1150-1050 BCE	..
3390	1500-1380 BCE	..
2865	1050-780 BCE	n/a (female)
3285	1420-1250 BCE	..
3150	1250-1150 BCE	..
2809	904-814 calBCE (2715±20 BP, PSUAMS-8888)	n/a (female)
2875	1050-800 BCE	..
2690	800-680 BCE	..
2875	1050-800 BCE	..
2875	1050-800 BCE	n/a (female)
3150	1250-1150 BCE	n/a (female)
3285	1420-1250 BCE	n/a (female)
3125	1250-1100 BCE	n/a (female)
3125	1250-1100 BCE	n/a (female)
3125	1250-1100 BCE	..
2875	1050-800 BCE	..
2915	1042-906 calBCE (2815±20 BP, UCIAMS-226539, PSUG-5445)	..
3285	1420-1250 BCE	..
3200	1400-1100 BCE	..
3259	1421-1134 calBCE (3050±42 BP, UBA-33655)	n/a (female)
3009	1196-932 calBCE (2879±31 BP, OxA-31001)	n/a (female)
2908	1049-846 calBCE (2807±31 BP, OxA-31002)	..
2935	1118-854 calBCE (2827±40 BP, UBA-27938)	n/a (female)
3050	1212-1010 calBCE (2908±32 BP, UBA-27939)	..
3018	1201-935 calBCE (2885±31 BP, UBA-27940)	n/a (female)
3285	1420-1250 BCE	n/a (female)
3285	1420-1250 BCE	n/a (female)
3285	1420-1250 BCE	n/a (female)
3285	1420-1250 BCE	n/a (female)
3285	1420-1250 BCE	n/a (female)
3150	1250-1150 BCE	n/a (female)
3285	1420-1250 BCE	n/a (female)
3285	1420-1250 BCE	..
3285	1420-1250 BCE	..
3285	1420-1250 BCE	n/a (female)
3285	1420-1250 BCE	n/a (female)
3285	1420-1250 BCE	n/a (female)
3285	1420-1250 BCE	n/a (female)
2565	680-550 BCE	n/a (female)
2565	680-550 BCE	n/a (female)
2565	680-550 BCE	..
2565	680-550 BCE	n/a (female)
2565	680-550 BCE	..
2565	680-550 BCE	..
3024	1199-989 calBCE (2890±25 BP PSUAMS-11923)	..
2622	788-551 calBCE (2530±20 BP, PSUAMS-11953)	..
2023	161 calBCE - 8 calCE (2065±25 BP, PSUAMS-9010)	n/a (female)
2022	157 calBCE - 7 calCE (2065±20 BP, PSUAMS-8417)	n/a (female)
1669	220-330 calCE (1790±20 BP, PSUAMS-8548)	n/a (female)
3945	2127-1900 calBCE (3630±25 BP, PSUAMS-6845)	..
3397	1502-1402 calBCE (3168±27 BP, OxA-31674)	n/a (female)
3270	1398-1228 calBCE (3050±20 BP, PSUAMS-7897)	..
3285	1420-1250 BCE	..
3390	1500-1380 BCE	..
3764	1919-1696 calBCE (3493±34 BP, UBA-28941)	..
3477	1616-1443 calBCE (3259±40 BP, UBA-27942)	..
3251	1407-1211 calBCE (3038±32 BP, UBA-27944)	..
1850	100 BCE - 300 CE	n/a (female)
2594	773-544 calBCE (2500±20 BP, PSUAMS-7883)	..
2800	900-809 calBCE (2700±20 BP, PSUAMS-6155)	n/a (female)
2806	902-812 calBCE (2710±20 BP, PSUAMS-6156)	n/a (female)
2765	891-793 calBCE (2655±20 BP, PSUAMS-6166)	..
2789	900-803 calBCE (2685±20 BP, PSUAMS-6167)	n/a (female)
2595	670-620 BCE	n/a (female)
2749	815-781 calBCE (2625±20 BP, PSUAMS-3056)	..
2595	670-620 BCE	n/a (female)
2700	900-600 BCE	n/a (female)
2554	752-417 calBCE (2455±20 BP, PSUAMS-6168)	..
0	present	..
0	present	..
0	present	..
0	present	n/a (female)
